Speaker,Rep,Syll,Phon,Filename,Filepath
F1,1,baab,bab,baab1F1.wav,1F/baab1F1.wav
F1,2,baab,bab,baab1F2.wav,1F/baab1F2.wav
F1,1,baach,bac,baach1F1.wav,1F/baach1F1.wav
F1,2,baach,bac,baach1F2.wav,1F/baach1F2.wav
F1,1,baad,bad,baad1F1.wav,1F/baad1F1.wav
F1,2,baad,bad,baad1F2.wav,1F/baad1F2.wav
F1,1,baaDH,baD,baaDH1F1.wav,1F/baaDH1F1.wav
F1,2,baaDH,baD,baaDH1F2.wav,1F/baaDH1F2.wav
F1,1,baaf,baf,baaf1F1.wav,1F/baaf1F1.wav
F1,2,baaf,baf,baaf1F2.wav,1F/baaf1F2.wav
F1,1,baag,bag,baag1F1.wav,1F/baag1F1.wav
F1,2,baag,bag,baag1F2.wav,1F/baag1F2.wav
F1,1,baaj,baj,baaj1F1.wav,1F/baaj1F1.wav
F1,2,baaj,baj,baaj1F2.wav,1F/baaj1F2.wav
F1,1,baak,bak,baak1F1.wav,1F/baak1F1.wav
F1,2,baak,bak,baak1F2.wav,1F/baak1F2.wav
F1,1,baal,bal,baal1F1.wav,1F/baal1F1.wav
F1,2,baal,bal,baal1F2.wav,1F/baal1F2.wav
F1,1,baam,bam,baam1F1.wav,1F/baam1F1.wav
F1,2,baam,bam,baam1F2.wav,1F/baam1F2.wav
F1,1,baan,ban,baan1F1.wav,1F/baan1F1.wav
F1,2,baan,ban,baan1F2.wav,1F/baan1F2.wav
F1,1,baang,baN,baang1F1.wav,1F/baang1F1.wav
F1,2,baang,baN,baang1F2.wav,1F/baang1F2.wav
F1,1,baap,bap,baap1F1.wav,1F/baap1F1.wav
F1,2,baap,bap,baap1F2.wav,1F/baap1F2.wav
F1,1,baar,bar,baar1F1.wav,1F/baar1F1.wav
F1,2,baar,bar,baar1F2.wav,1F/baar1F2.wav
F1,1,baas,bas,baas1F1.wav,1F/baas1F1.wav
F1,2,baas,bas,baas1F2.wav,1F/baas1F2.wav
F1,1,baash,baS,baash1F1.wav,1F/baash1F1.wav
F1,2,baash,baS,baash1F2.wav,1F/baash1F2.wav
F1,1,baat,bat,baat1F1.wav,1F/baat1F1.wav
F1,2,baat,bat,baat1F2.wav,1F/baat1F2.wav
F1,1,baath,baT,baath1F1.wav,1F/baath1F1.wav
F1,2,baath,baT,baath1F2.wav,1F/baath1F2.wav
F1,1,baav,bav,baav1F1.wav,1F/baav1F1.wav
F1,2,baav,bav,baav1F2.wav,1F/baav1F2.wav
F1,1,baaz,baz,baaz1F1.wav,1F/baaz1F1.wav
F1,2,baaz,baz,baaz1F2.wav,1F/baaz1F2.wav
