"DiffPos","S1","S2","Contrast","PhonX","FeatX"
"CV","bab","cab","bab-cab","b-c","multi"
"CV","bab","dab","bab-dab","b-d","plc_plos"
"CV","bab","Dab","bab-Dab","b-D","manXplc_obs"
"CV","bab","fab","bab-fab","b-f","voiXman"
"CV","bab","gab","bab-gab","b-g","plc_plos"
"CV","bab","hab","bab-hab","b-h","multi"
"CV","bab","jab","bab-jab","b-j","manXplc_obs"
"CV","bab","kab","bab-kab","b-k","voiXplc"
"CV","bab","lab","bab-lab","b-l","multi"
"CV","bab","mab","bab-mab","b-m","nasXson"
"CV","bab","nab","bab-nab","b-n","multi"
"CV","bab","pab","bab-pab","b-p","voi_plos"
"CV","bab","rab","bab-rab","b-r","multi"
"CV","bab","sab","bab-sab","b-s","multi"
"CV","bab","Sab","bab-Sab","b-S","multi"
"CV","bab","tab","bab-tab","b-t","voiXplc"
"CV","bab","Tab","bab-Tab","b-T","multi"
"CV","bab","vab","bab-vab","b-v","man_obs"
"CV","bab","zab","bab-zab","b-z","manXplc_obs"
"CV","bap","cap","bap-cap","b-c","multi"
"CV","bap","dap","bap-dap","b-d","plc_plos"
"CV","bap","Dap","bap-Dap","b-D","manXplc_obs"
"CV","bap","fap","bap-fap","b-f","voiXman"
"CV","bap","gap","bap-gap","b-g","plc_plos"
"CV","bap","hap","bap-hap","b-h","multi"
"CV","bap","jap","bap-jap","b-j","manXplc_obs"
"CV","bap","kap","bap-kap","b-k","voiXplc"
"CV","bap","lap","bap-lap","b-l","multi"
"CV","bap","map","bap-map","b-m","nasXson"
"CV","bap","nap","bap-nap","b-n","multi"
"CV","bap","pap","bap-pap","b-p","voi_plos"
"CV","bap","rap","bap-rap","b-r","multi"
"CV","bap","sap","bap-sap","b-s","multi"
"CV","bap","Sap","bap-Sap","b-S","multi"
"CV","bap","tap","bap-tap","b-t","voiXplc"
"CV","bap","Tap","bap-Tap","b-T","multi"
"CV","bap","vap","bap-vap","b-v","man_obs"
"CV","bap","zap","bap-zap","b-z","manXplc_obs"
"CV","bib","cib","bib-cib","b-c","multi"
"CV","bib","dib","bib-dib","b-d","plc_plos"
"CV","bib","Dib","bib-Dib","b-D","manXplc_obs"
"CV","bib","fib","bib-fib","b-f","voiXman"
