"DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"CV","bab","cab","bab-cab","b-c","multi",3.76273140710539,3.01517734064269,2.7100900993304,4.54815884902208,2.62231229668482,3.22678451258472,2.56798452717545,3.06990762404155
"CV","bab","dab","bab-dab","b-d","plc_plos",1.67897808293005,1.758205261229,2.12999583940698,3.16850807810424,2.28464279521309,2.54646277139356,2.31367793894502,3.10576445412276
"CV","bab","Dab","bab-Dab","b-D","manXplc_obs",2.53336360595458,2.38187722032381,2.2123158323433,2.58782266980863,2.36981462927102,2.41277024889168,2.25774366594728,3.02358813773227
"CV","bab","fab","bab-fab","b-f","voiXman",6.78295464510145,5.1730187137385,2.59818925942706,2.10600489882896,3.19294411313168,3.05435607829104,2.59827972450437,5.66428057413241
"CV","bab","gab","bab-gab","b-g","plc_plos",3.53467404819244,1.6029839312021,2.01024048125815,1.74184644773757,3.28563557233274,2.12466994767803,2.88478897736928,NA
"CV","bab","hab","bab-hab","b-h","multi",5.04239775719967,3.34799018090661,2.30063756752051,1.96339441793319,2.96321027919037,3.09760228034285,2.82195195955927,4.36521316246862
"CV","bab","jab","bab-jab","b-j","manXplc_obs",4.48238035566533,2.09413085295862,2.55644526978469,2.04758987351779,3.27347862655138,2.91961856983797,NA,NA
"CV","bab","kab","bab-kab","b-k","voiXplc",3.09429838502536,3.60269582170451,2.42172830384685,2.4688726995555,2.19844479912223,2.32291493851155,2.59052951740742,3.97060640193037
"CV","bab","lab","bab-lab","b-l","multi",2.93883726077327,2.19700031249088,1.9123288410124,1.97314953560666,3.13711951732003,2.3601939453949,3.32506894589297,3.24416076070111
"CV","bab","mab","bab-mab","b-m","nasXson",3.19555208027711,3.01974805002578,2.04828386359987,2.56248589031447,2.50584025292326,2.58803711459653,2.92232470486842,3.47856284223654
"CV","bab","nab","bab-nab","b-n","multi",2.78676857934015,2.51881253364984,2.08672857166755,2.66060617281619,2.65093692102253,2.1808795141965,3.72300415982139,2.74958825532741
"CV","bab","pab","bab-pab","b-p","voi_plos",5.17445437550366,4.39884158880899,2.30227357262675,2.26938610834137,2.43256090642577,2.19007565649114,3.5498454091267,2.88232453425863
"CV","bab","rab","bab-rab","b-r","multi",3.25091696507277,2.37854526012525,2.16095597129793,2.90480672581182,3.08103475577491,2.54672661988054,2.73717234239833,4.2246226503348
"CV","bab","sab","bab-sab","b-s","multi",3.96500591416107,4.28327340265443,2.21751892759559,2.23774771944012,3.14387859726948,2.5734578417725,4.30670119303368,3.98558779966704
"CV","bab","Sab","bab-Sab","b-S","multi",4.9503276012578,3.60658488241232,2.64239859271834,2.70147415167984,2.64576357309075,2.86358018496956,2.94359201874857,4.49820072052016
"CV","bab","tab","bab-tab","b-t","voiXplc",4.10450324401509,4.30299152509969,2.1384796181756,2.12641429353156,2.00413183433152,2.23767127991812,2.86265996667597,4.0255224750658
"CV","bab","Tab","bab-Tab","b-T","multi",7.24068908209973,6.36706599764035,2.91837672472626,2.86591708327103,4.12420380774585,4.03641115926931,3.79624931099104,6.32999154666675
"CV","bab","vab","bab-vab","b-v","man_obs",3.23267118875439,3.66710964689932,2.39561138950723,2.10903712564948,2.40847752418587,2.89114717273303,2.91035990579825,3.93916358417311
"CV","bab","zab","bab-zab","b-z","manXplc_obs",3.50938647689923,3.06807972377478,2.91145836885734,3.46486174115135,3.01518253989285,2.82197625588455,2.69811868122579,3.28561806205192
"CV","bap","cap","bap-cap","b-c","multi",4.67007500092445,3.32448429493724,3.64833485560464,2.47019682214294,3.61625068001804,3.20355646983008,2.92888927841249,2.45012765229479
"CV","bap","dap","bap-dap","b-d","plc_plos",2.94685262254908,2.53394887871549,2.27751174270684,1.65911459322139,3.06692319771647,2.3519912574762,2.70777258358849,4.27014650851416
"CV","bap","Dap","bap-Dap","b-D","manXplc_obs",2.95864728675321,2.69292530337528,2.7879574089755,2.33370000358839,2.32014716562981,2.56387006101287,2.38383770622736,2.40648148942471
"CV","bap","fap","bap-fap","b-f","voiXman",3.85126870014403,4.92135050375926,2.91474377715141,2.89197677509326,5.42479727488426,4.51421108366861,3.88181125774094,2.84549197110072
"CV","bap","gap","bap-gap","b-g","plc_plos",2.38551375084681,2.68779499570467,2.26648889685325,2.21026089909008,2.80075836749819,2.61411591156472,2.1535808114101,2.64870604395338
"CV","bap","hap","bap-hap","b-h","multi",5.08842589085361,4.83985706117672,4.2743398121247,3.54881503225474,3.81710930611503,3.75180601015872,3.05424413532847,2.26350215978227
"CV","bap","jap","bap-jap","b-j","manXplc_obs",4.70753806885744,3.34014943868651,2.48462657667791,2.64934413139046,3.04040139182209,3.24143531933227,NA,2.90637291256967
"CV","bap","kap","bap-kap","b-k","voiXplc",3.2621270248681,3.27186184947556,2.97247408363988,3.06513474221158,2.79335567548049,2.75165641385649,2.77477736653278,2.38309242263325
"CV","bap","lap","bap-lap","b-l","multi",2.75064191720568,2.65330272700547,2.93072842799927,2.08979852450697,2.48466622056073,2.76207910069606,2.71557531322263,2.4107652935396
"CV","bap","map","bap-map","b-m","nasXson",3.7899780487509,3.05444403274069,2.69090463403103,2.64066134969835,3.07138872580968,2.89288426142568,3.39712199849361,2.6461002713344
"CV","bap","nap","bap-nap","b-n","multi",3.73773685024407,3.00251303802678,3.19135089140025,2.58824576061932,2.92802861539414,2.6983236206729,3.28106059411164,2.93237441059494
"CV","bap","pap","bap-pap","b-p","voi_plos",4.59148570665733,3.95771152648403,2.84181799713252,3.74230163805731,2.94325031922962,3.34625514669964,2.79059652309049,2.11293173004763
"CV","bap","rap","bap-rap","b-r","multi",3.86102310323998,2.76985268947001,2.50512903677559,3.07732435285818,2.91036920427337,2.89255293101349,2.94252809097601,3.13245186307911
"CV","bap","sap","bap-sap","b-s","multi",4.32114298965137,3.64370863975702,3.24897993746728,2.75262200653553,3.17215296369654,3.39989690781189,4.02141363978663,2.9248914724744
"CV","bap","Sap","bap-Sap","b-S","multi",4.99648004123328,3.84647800828691,3.03893304320861,2.70263610371044,3.35459501057634,3.33793917089198,2.88079506765939,3.30862753214838
"CV","bap","tap","bap-tap","b-t","voiXplc",5.27165139163645,3.69982614983782,2.27486944092733,2.96092987347865,2.36615159578693,2.65519881976025,2.83836225518984,4.21382326785632
"CV","bap","Tap","bap-Tap","b-T","multi",6.1770537586166,5.79063237825785,3.37260568962087,2.98251211832145,3.76189763953056,4.06458104124648,3.26647771180272,2.23382476639052
"CV","bap","vap","bap-vap","b-v","man_obs",3.31456535012747,2.89672952003463,2.25304182357612,2.24059089794925,3.4390658327575,2.39092268466969,3.10514911604837,2.26617477104195
"CV","bap","zap","bap-zap","b-z","manXplc_obs",3.18938651553808,3.11242434404189,2.62885260354324,3.57465280907823,3.02055652233336,2.84241636197586,2.76611255035135,3.00800042967787
"CV","bib","cib","bib-cib","b-c","multi",3.02002945619955,2.03547024422611,1.70269370546538,2.4813988952368,3.1169378869579,3.32217023074734,2.59621877370138,2.51598719969034
"CV","bib","dib","bib-dib","b-d","plc_plos",1.97257271252136,1.8364848433878,1.60466789558732,1.77466302883221,2.43106322775066,2.04000584348052,2.34384785714221,1.89927216176447
"CV","bib","Dib","bib-Dib","b-D","manXplc_obs",1.86267504894721,2.73964821094038,1.8696435249062,2.28639448377263,2.29965436160454,2.18950303643757,2.40123329123968,1.7801666687507
"CV","bib","fib","bib-fib","b-f","voiXman",5.0874565559358,4.12314999486935,2.9674890828705,2.81843283231906,4.53697488009792,4.46795165013223,4.6386145098462,3.88275709832092
"CV","bib","gib","bib-gib","b-g","plc_plos",1.80680626992044,2.88737304783524,2.04089022611636,1.91737592757509,2.79599326423815,3.29454916259332,2.56152357866358,NA
"CV","bib","hib","bib-hib","b-h","multi",5.11271121998626,3.36305302214532,2.18182285795026,2.99060931720469,3.82807795903744,3.76844834822895,3.87410869453244,2.61838195911276
"CV","bib","jib","bib-jib","b-j","manXplc_obs",2.48462987549223,2.18419798696098,2.05541881842386,2.20547011683381,2.63427339685291,2.67674832588574,3.0428961803274,2.82907968017101
"CV","bib","kib","bib-kib","b-k","voiXplc",4.62023182602582,2.90274602835707,1.59875906291687,1.88428619929548,3.23285712273156,3.1877436170645,2.77060686661333,2.76746962961736
