"DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"CV","bab","cab","bab-cab","b-c","multi",10.3946639960616,9.34379986065457,9.32979953336068,9.7663552875795,8.43977068974955,9.36820419879252,8.97284359348365,9.32076312171929
"CV","bab","dab","bab-dab","b-d","plc_plos",6.80255818982858,6.6277119446454,6.40922067443086,7.78229758748462,8.05394927987754,7.98551214733421,8.13651186514457,9.40087154680834
"CV","bab","Dab","bab-Dab","b-D","manXplc_obs",9.37086016914185,9.29350198508636,6.8609371831505,7.06451885461451,8.73862257480476,8.69670200396692,9.00946735532637,9.30849281433662
"CV","bab","fab","bab-fab","b-f","voiXman",13.3116641551817,10.2830357714322,7.68339117044978,7.20183053234655,7.46438621807908,8.51976394997376,7.99161806186343,11.2354828888146
"CV","bab","gab","bab-gab","b-g","plc_plos",9.73239178647972,6.33473761686025,6.94655190834223,6.26425527750992,9.01150078399587,7.65326935351499,10.266917372706,NA
"CV","bab","hab","bab-hab","b-h","multi",10.7952305169938,7.93923766509988,6.77319014313402,6.83916358623331,7.35297322656641,8.47811421089867,8.93165567367133,11.3325996362822
"CV","bab","jab","bab-jab","b-j","manXplc_obs",11.0269794867807,8.65846693164137,8.57996467479951,8.33161311727594,10.3417465359547,8.6609756016325,NA,NA
"CV","bab","kab","bab-kab","b-k","voiXplc",9.7841237937526,9.54046639475018,8.30402793500164,8.07956487124173,7.8249519238401,8.42832086017011,9.55814907253882,10.3803867493167
"CV","bab","lab","bab-lab","b-l","multi",10.5072275649837,7.48930005001225,6.74426176341315,7.13293783895666,9.11390018452093,8.28673834815531,9.90396705356884,8.95789339134576
"CV","bab","mab","bab-mab","b-m","nasXson",10.0216257619384,8.86683914711842,8.43911399467605,8.14809206407455,8.20975278004402,9.68666120682622,9.26296232676967,9.44103049625352
"CV","bab","nab","bab-nab","b-n","multi",10.5823750426631,8.30608619134669,8.20993759423197,10.0269671725656,10.0129847894043,8.62687225249884,10.6237398467625,8.82398272549351
"CV","bab","pab","bab-pab","b-p","voi_plos",13.4675788561344,10.4958985257077,7.27553144957702,7.12998285520425,6.96523419396689,7.95424103075575,10.8979458817823,8.86486789553689
"CV","bab","rab","bab-rab","b-r","multi",9.21688177655574,7.899479677198,6.62000095031234,8.18529284921799,9.01994090197748,8.95935902855739,8.89804000707774,9.70444594133794
"CV","bab","sab","bab-sab","b-s","multi",12.1406333787994,10.3942277072451,7.94727267113574,7.87578242999879,11.0955727409301,8.82963827209772,11.4567740228976,11.3797751087352
"CV","bab","Sab","bab-Sab","b-S","multi",13.8659337393431,10.6938166400844,9.54658212974293,9.65550223024595,9.07472142022237,11.1243282096097,9.99170559580308,10.4955747186226
"CV","bab","tab","bab-tab","b-t","voiXplc",10.6357341706103,10.5674556839685,7.34381566534518,7.60235766718003,6.80602909598604,7.46658699996716,9.27138365717643,9.6986286134826
"CV","bab","Tab","bab-Tab","b-T","multi",12.6063811791885,12.1294624268483,8.08657980339758,8.06839796422537,9.21185341544771,9.45869471675173,10.0524536725671,12.3417598768518
"CV","bab","vab","bab-vab","b-v","man_obs",9.93766015795445,8.86659804481769,6.78458596323309,8.6743831290993,7.71373646820989,9.31149894164825,8.35365564914239,9.35069856021972
"CV","bab","zab","bab-zab","b-z","manXplc_obs",10.6138745663546,9.90589634445495,8.85634580564724,9.35724100984512,10.4218318013885,9.24217830075108,9.49827901279627,10.5508077473328
"CV","bap","cap","bap-cap","b-c","multi",12.4000707662224,10.3124939563232,9.90916040844734,8.79194348928258,11.2443847052981,10.2614970711427,9.76353001556005,9.34474934569509
