"DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"CV","bab","cab","bab-cab","b-c","multi",11.0792092429582,10.365194937594,10.8742417503807,11.4227538234072,9.64004657190122,10.9275291696768,9.89735466486084,10.5691034327594
"CV","bab","dab","bab-dab","b-d","plc_plos",8.3638004194087,8.08362282610302,8.29668704090741,9.08966624765921,9.99404072693464,10.0398236650665,9.23938679104332,10.4844782593837
"CV","bab","Dab","bab-Dab","b-D","manXplc_obs",9.95102184137299,8.55471554417616,8.21343279628146,8.46336358936293,10.0806471969902,10.2814979338434,10.3861163204426,11.0121401649168
"CV","bab","fab","bab-fab","b-f","voiXman",15.5677358310126,11.421275148768,8.89530778010244,8.62824631914355,8.43299718481096,10.014074496642,8.98829786137935,12.8265450327236
"CV","bab","gab","bab-gab","b-g","plc_plos",10.8816496450486,7.55990606013226,8.43163115366124,7.58759323132525,10.7115039672777,9.32817594947374,11.9049462003802,NA
"CV","bab","hab","bab-hab","b-h","multi",12.6660705822629,9.41791856119625,8.16657937446974,8.74560526574447,8.14136888898414,9.66432147182749,10.0508349381897,12.9966133346658
"CV","bab","jab","bab-jab","b-j","manXplc_obs",11.9198458691919,9.90657685774924,9.69673075770024,9.22568576419784,11.381560373376,10.2720187865643,NA,NA
"CV","bab","kab","bab-kab","b-k","voiXplc",11.6730941435906,9.40204485312584,9.31060456317048,9.24216453780834,9.8168824232115,10.3827483766164,11.1025763999972,13.026305894439
"CV","bab","lab","bab-lab","b-l","multi",13.0660652106239,8.69015269260627,7.60627238233273,9.09400050449257,10.7655361852565,10.1157792497702,11.443947042878,10.4630128316859
"CV","bab","mab","bab-mab","b-m","nasXson",12.3396651134147,10.3891383855983,9.90531279064937,10.3215300234769,10.4584228671291,12.5714349768413,10.9174192189573,11.0086295959959
"CV","bab","nab","bab-nab","b-n","multi",13.5846027998095,9.39004658344885,9.52408190944793,11.6881844421827,11.7008174593731,11.3350429995992,12.8482239509714,10.781724871564
"CV","bab","pab","bab-pab","b-p","voi_plos",15.1394008124493,12.8463414685869,8.11939687380883,8.556929833156,8.44323213985799,9.4651699005915,12.7149437819046,9.7567236880533
"CV","bab","rab","bab-rab","b-r","multi",10.3313488454645,8.80286988182883,8.78759847805396,9.694499500832,10.3359371149736,10.6896872358583,10.0115938345716,10.6368538277662
"CV","bab","sab","bab-sab","b-s","multi",12.6169684661308,11.0153457178517,8.98168059963007,8.77259246377672,12.3012516408926,10.2205635876219,12.2282912429501,12.677021606816
"CV","bab","Sab","bab-Sab","b-S","multi",16.2793226266926,11.0204131369293,10.7672636154275,10.7867228615472,9.95136333697695,14.8749519525477,11.1960995840977,11.7860712526193
"CV","bab","tab","bab-tab","b-t","voiXplc",12.4763244808477,12.5852334044494,8.51965918639488,8.65926416812782,7.99396987232879,8.70009777932195,10.3536186289346,10.5429618883988
"CV","bab","Tab","bab-Tab","b-T","multi",14.7096533596424,13.9722261230167,9.38696591880371,9.51677949606301,10.451651985614,10.5622287384525,10.7539493181848,13.6811982431147
"CV","bab","vab","bab-vab","b-v","man_obs",13.6617448196873,9.75368476209331,7.67345467138404,9.5736525892424,8.92749792725693,10.8603265425318,9.24383498207313,10.4368056509288
"CV","bab","zab","bab-zab","b-z","manXplc_obs",11.6547075642455,10.2665561412889,10.1437571383641,11.3150154365924,11.3947197728026,10.0814216917733,10.8479598848064,11.6529071594639
"CV","bap","cap","bap-cap","b-c","multi",13.9609480488548,11.0830988884049,11.3970770208694,10.6742275260044,13.4045810410122,12.1473601936148,10.7767675378761,10.0937248809025
"CV","bap","dap","bap-dap","b-d","plc_plos",9.33187592863365,9.00243349651807,8.76293638618779,7.58472055553347,9.8248311301483,8.12821968918654,10.3810681578061,11.1246514113692
"CV","bap","Dap","bap-Dap","b-D","manXplc_obs",12.5672067898266,9.84734546879627,8.98869075873943,8.6749125835326,10.1519759127876,9.4055057738853,8.57820102652279,9.361995804296
"CV","bap","fap","bap-fap","b-f","voiXman",8.84974037361406,10.8636109424894,9.37230819897106,9.24832118565655,12.6717415445691,11.0605255640339,11.5499468708168,10.9595351471646
"CV","bap","gap","bap-gap","b-g","plc_plos",8.07892201322506,11.106932762453,9.47102651797534,8.06238893941194,10.2594262408497,9.93905710228718,9.59419960572085,9.80673915373839
"CV","bap","hap","bap-hap","b-h","multi",14.4666651477292,10.9307267105261,10.0357706227882,9.79846772027028,9.84582205645645,10.3007764636988,11.1728565243815,10.8295450842003
"CV","bap","jap","bap-jap","b-j","manXplc_obs",15.0879092492999,11.20770675132,9.84475324889471,10.3026419982627,10.7979651984358,10.8222169116802,NA,12.0928354303328
"CV","bap","kap","bap-kap","b-k","voiXplc",10.6328441397004,10.3389814877968,9.80070012117876,10.142294572541,9.92292222115891,10.5005095479155,11.2846877035202,9.86194147315127
"CV","bap","lap","bap-lap","b-l","multi",10.6520665087432,12.1975989262223,10.3282692174093,9.71531482035664,9.93772437182409,9.48747761734992,10.3687133371101,9.54013330855321
"CV","bap","map","bap-map","b-m","nasXson",16.3295741818645,10.743069962356,10.9728843364317,10.0656358810383,10.7022900173039,11.4580158527354,11.3975778672813,11.3112967242181
"CV","bap","nap","bap-nap","b-n","multi",15.0422796850466,10.7346243115254,13.2033324763847,10.5518950179979,11.590301196271,11.7317574059283,11.4088232914474,12.242003505086
"CV","bap","pap","bap-pap","b-p","voi_plos",13.361405178543,11.3380271875825,9.41061556554038,10.4561854927109,9.52922332065963,9.67388435593002,10.1297651689716,8.77526488625178
"CV","bap","rap","bap-rap","b-r","multi",13.7744394000916,9.22160793153149,10.2417899791053,9.29644429108358,10.1262145092789,10.2305886685028,10.7778282941015,11.4331531647592
"CV","bap","sap","bap-sap","b-s","multi",13.8571190240548,12.5428726844129,10.5641790458428,9.36596580358835,12.3283132576245,12.2673987349047,11.6608624924227,11.647595147118
"CV","bap","Sap","bap-Sap","b-S","multi",17.2885500235619,11.7959723619578,11.4558925665982,11.1453557491068,11.868800440898,11.5655781568597,11.5719948000968,12.8402680477435
"CV","bap","tap","bap-tap","b-t","voiXplc",15.1682465225069,11.316399055596,9.65977306093502,9.50314872608569,8.96304603674363,9.73438666394059,10.3584196942052,11.1975969775621
"CV","bap","Tap","bap-Tap","b-T","multi",14.9291608900437,11.9949855166768,10.1587394751654,9.13905282271984,10.4513030512093,9.73012072106359,10.7939752859786,9.12419651095538
"CV","bap","vap","bap-vap","b-v","man_obs",10.6322949851512,9.43713246666854,8.7268064643588,9.15695975595579,9.88606614725124,8.99835073779675,10.7764183398326,9.17823204618763
"CV","bap","zap","bap-zap","b-z","manXplc_obs",11.0610589838464,10.0668847192408,10.2836698500822,10.6220419474402,11.0864823617062,11.0204661536013,10.4785761960101,11.3986606684887
"CV","bib","cib","bib-cib","b-c","multi",13.0683982614133,9.50838282029445,7.95726208473783,10.6482117683579,10.996869047345,11.7249859863245,10.2603331901092,9.47719001573485
"CV","bib","dib","bib-dib","b-d","plc_plos",11.8422384939403,9.10419764944037,5.91082623349107,7.35229035935535,10.0479550419904,8.8864102427113,8.1261475918602,8.53297731633407
"CV","bib","Dib","bib-Dib","b-D","manXplc_obs",8.72247013570701,12.750301447893,7.11019417924156,8.85895497181569,8.94149392060651,8.36701518443215,8.85702960793616,8.13240573657513
"CV","bib","fib","bib-fib","b-f","voiXman",11.5914690392424,9.80636795914871,8.03005982025193,8.73891479131689,10.7761126254764,11.0959770626496,12.0270591924118,10.7447255086466
"CV","bib","gib","bib-gib","b-g","plc_plos",9.45358819391219,13.8546864386413,8.63839551152752,8.01233301569438,9.17702905032287,9.9303304043678,9.20877481108833,NA
"CV","bib","hib","bib-hib","b-h","multi",12.2768850718797,10.2343869485373,7.89630901672465,8.37001869285962,10.4765382509304,9.83761824255136,10.9476971761868,9.03828245897132
"CV","bib","jib","bib-jib","b-j","manXplc_obs",12.6107447526773,9.79209187887655,8.28563833359127,10.1082143114822,10.5541174648794,10.562885168376,10.4049330331597,10.854766791534
