"DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"CV","bab","cab","bab-cab","b-c","multi",30.3236256924393,27.7387234957893,30.1271732652603,29.6688499286802,26.2297428085798,29.3276945574414,26.5804946875114,28.8921163918201
"CV","bab","dab","bab-dab","b-d","plc_plos",25.5944497469656,24.90061229098,23.9867351935486,24.0519725400787,25.9725132324364,26.3801200826752,25.1206121180454,26.2254787646627
"CV","bab","Dab","bab-Dab","b-D","manXplc_obs",30.4402723618008,24.2560008321121,23.2929009529349,24.0642810387876,25.7746814542095,25.5193730951132,28.927820284469,28.2199636495079
"CV","bab","fab","bab-fab","b-f","voiXman",34.4926027848343,27.7613298959232,24.0705390901365,24.356423023038,22.3453838431653,26.0898990175199,25.0983953552919,31.0029980636443
"CV","bab","gab","bab-gab","b-g","plc_plos",29.5426400701653,21.9096761878096,23.8332562208228,21.7101388956247,28.3262921059863,25.9810191359701,32.252284321791,NA
"CV","bab","hab","bab-hab","b-h","multi",32.8715409526416,24.7543102982486,23.2664409827031,25.2914995973239,21.0167078752038,25.248941045903,28.1244114708758,33.3983943349927
"CV","bab","jab","bab-jab","b-j","manXplc_obs",33.1293878112586,27.919369042082,26.9962955703155,25.3191229110249,30.0706889954849,27.1721822614407,NA,NA
"CV","bab","kab","bab-kab","b-k","voiXplc",34.3496170288854,24.1893971627811,27.3264000897622,25.4818517715978,28.8814493355201,28.8335970860109,31.532084977927,33.3114216105365
"CV","bab","lab","bab-lab","b-l","multi",36.3098338960882,23.5849359281823,21.4334752803324,26.0543359938963,28.7257235047093,28.2443247484045,30.6069282598664,28.539665127003
"CV","bab","mab","bab-mab","b-m","nasXson",35.040802334562,27.9441727167485,29.2432698648514,28.8714017774477,28.7706271276613,34.9372182492971,28.9390080181268,29.4175514791224
"CV","bab","nab","bab-nab","b-n","multi",38.894025533412,25.1241699923446,26.4872598007865,32.6965952723181,31.5947040288442,31.4642794261819,34.5461809570999,30.5820553592347
"CV","bab","pab","bab-pab","b-p","voi_plos",38.2670944458619,31.7799124049681,22.7916325160974,25.4055888983843,24.3724581809989,26.2550101076504,32.8594422819929,25.4954614197696
"CV","bab","rab","bab-rab","b-r","multi",29.5931278642233,23.9167433071712,25.3961264439786,25.8452440962662,26.3800798356873,28.5638201077479,28.4648298137646,27.2522650076834
"CV","bab","sab","bab-sab","b-s","multi",34.5702603025184,27.710767232677,25.572623868699,24.6024323568151,32.1654964927491,27.3634088114724,31.731633879382,33.8812331175836
"CV","bab","Sab","bab-Sab","b-S","multi",42.2985327300642,28.642965461191,30.0820015021983,29.6679329410322,27.7491738820205,40.0501199032197,30.2228455351905,29.4304972406723
"CV","bab","tab","bab-tab","b-t","voiXplc",35.5463239699907,32.250928777918,24.4296947947208,24.3794954352278,22.6850484313768,23.7424402689679,29.7923550246649,26.7173294901705
"CV","bab","Tab","bab-Tab","b-T","multi",36.4985311184449,34.3671266853422,25.9551886483786,26.3390830582348,27.3523482322136,26.7440644651028,27.5424660136732,30.4662288092613
"CV","bab","vab","bab-vab","b-v","man_obs",37.2259235765686,23.8864153999732,21.1294184519584,27.4255141730037,23.6370356063595,27.0648046245289,25.0533230865349,26.4543831294683
"CV","bab","zab","bab-zab","b-z","manXplc_obs",31.6730199685023,27.2398888161205,28.9936129255091,30.6892008229739,30.1633888215136,27.2182222952053,29.3515723187364,32.7381760832359
"CV","bap","cap","bap-cap","b-c","multi",35.3617364309995,30.0612363857177,29.9226214605755,31.3727589954438,36.1465475826363,32.2965410140427,28.9552968597006,27.8001222096962
"CV","bap","dap","bap-dap","b-d","plc_plos",24.5753090163972,24.1518061352411,24.8855639045347,22.252743750931,26.914734839325,22.0274579605224,29.0598399999915,28.0902875057989
