"DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"CV","bab","cab","bab-cab","b-c","multi",1.18936442916436e+22,1.86488924918627e+22,2.31820165433775e+22,2.0421107041601e+22,1.81121439976615e+22,2.06298571530009e+22,2.0209308977446e+22,2.19680661640566e+22
"CV","bab","dab","bab-dab","b-d","plc_plos",1.54540850541411e+22,1.42284988601936e+22,1.53724651079571e+22,2.04260791141632e+22,4.27048520366372e+22,1.97150326344427e+22,2.59920063944746e+22,1.62098365871344e+22
"CV","bab","Dab","bab-Dab","b-D","manXplc_obs",1.98133831235272e+22,1.84158015356126e+22,2.03938383702998e+22,2.01496922126139e+22,1.6483240219075e+22,2.14275115285464e+22,2.89193466652271e+22,1.4445795660187e+22
"CV","bab","fab","bab-fab","b-f","voiXman",2.83852841465238e+22,1.87539393749735e+22,2.5871771049657e+22,2.6453332349576e+22,1.89412023188561e+22,2.17794376434689e+22,2.79516486157052e+22,2.25656905853396e+22
"CV","bab","gab","bab-gab","b-g","plc_plos",2.6688384424309e+22,1.23181197189243e+22,2.3006604891272e+22,1.68591047555933e+22,1.5675956942937e+22,2.12748137708525e+22,2.04791573474825e+22,NA
"CV","bab","hab","bab-hab","b-h","multi",1.63481451987856e+22,1.30362244858308e+22,1.97249324627021e+22,2.32770606669566e+22,1.3915671435696e+22,2.25109337634188e+22,2.19327388757399e+22,1.90973402999256e+22
"CV","bab","jab","bab-jab","b-j","manXplc_obs",1.47882548791188e+22,1.50428457648791e+22,1.9083243615687e+22,1.88716989714389e+22,2.09781273413402e+22,2.03942693140754e+22,NA,NA
"CV","bab","kab","bab-kab","b-k","voiXplc",1.63488461245361e+22,1.25148397909201e+22,1.95459562910034e+22,2.22470308603392e+22,2.24136368775953e+22,2.24578814084829e+22,2.90406681355616e+22,3.50387875544706e+22
"CV","bab","lab","bab-lab","b-l","multi",1.77529263457052e+22,1.318944188532e+22,2.16810178292564e+22,2.59176592149427e+22,1.89820541133098e+22,2.37624666130028e+22,2.17653993170922e+22,1.98317993212875e+22
"CV","bab","mab","bab-mab","b-m","nasXson",2.1490529194234e+22,2.43450304348796e+22,2.51498063035593e+22,2.39294307446733e+22,2.14163074611761e+22,5.33347430017847e+22,2.14775095138074e+22,1.99382146970917e+22
"CV","bab","nab","bab-nab","b-n","multi",2.1552706441254e+22,2.09903043615362e+22,1.85201549453482e+22,2.4622625057808e+22,2.14234204939035e+22,2.23261076858209e+22,4.16156730616713e+22,4.33479674715915e+22
"CV","bab","pab","bab-pab","b-p","voi_plos",2.26564509583034e+22,1.87402583456503e+22,2.08526430016468e+22,1.71128900748311e+22,1.63470030429752e+22,1.86011096903008e+22,2.6003904218838e+22,1.41990690314556e+22
"CV","bab","rab","bab-rab","b-r","multi",2.05830717667772e+22,1.64182116787106e+22,2.35440958911064e+22,3.52295288466214e+22,1.95476281087095e+22,2.1905674116912e+22,3.38395260706976e+22,2.76840576234962e+22
"CV","bab","sab","bab-sab","b-s","multi",1.7208153535569e+22,1.62023238015999e+22,2.07117527778225e+22,2.27209308438981e+22,2.25549718516246e+22,2.34008708411806e+22,3.17828072175401e+22,2.06768072552926e+22
"CV","bab","Sab","bab-Sab","b-S","multi",2.21787316352012e+22,1.61485099845459e+22,1.8687580872091e+22,2.2141658699225e+22,1.73569464403188e+22,2.01596151954869e+22,2.14217439859259e+22,2.27466074998153e+22
"CV","bab","tab","bab-tab","b-t","voiXplc",1.89779735644127e+22,1.63141915618293e+22,1.84295633217043e+22,1.97052719776021e+22,1.98700621254319e+22,2.19902190351112e+22,3.91772017461871e+22,2.085660451354e+22
"CV","bab","Tab","bab-Tab","b-T","multi",1.88111549672645e+22,2.03603883985969e+22,1.98605865873043e+22,2.2826935853195e+22,1.91017641970622e+22,2.20702347607257e+22,2.53761980970468e+22,1.80268570825651e+22
"CV","bab","vab","bab-vab","b-v","man_obs",2.43741924991477e+22,1.39881478412382e+22,1.68439738761103e+22,1.86874553881929e+22,1.51237008773307e+22,1.98545366590676e+22,2.25730717516418e+22,1.8991306774569e+22
"CV","bab","zab","bab-zab","b-z","manXplc_obs",2.23062355360869e+22,1.82887499415248e+22,1.82042407123774e+22,2.27237624008022e+22,1.88234345798882e+22,1.75197193157051e+22,2.78048745043255e+22,2.45750314159539e+22
"CV","bap","cap","bap-cap","b-c","multi",5.63040486213993e+22,2.09790113174751e+22,2.04318659762237e+22,2.31729449122833e+22,2.97484416108505e+22,2.53277225000977e+22,2.0160855590331e+22,2.10153329550553e+22
"CV","bap","dap","bap-dap","b-d","plc_plos",2.34068803507004e+22,2.3200267968058e+22,1.76155687225881e+22,1.94397419691722e+22,2.76202393993584e+22,2.09288056739617e+22,2.2029578122989e+22,2.43294943277471e+22
"CV","bap","Dap","bap-Dap","b-D","manXplc_obs",4.31789331061253e+22,2.01434402760906e+22,2.1809185513695e+22,1.62323932256161e+22,2.30881572065732e+22,2.43182610773024e+22,1.89694276006947e+22,2.15767817692598e+22
"CV","bap","fap","bap-fap","b-f","voiXman",2.75123597627356e+22,1.69257364610625e+22,2.41180953963491e+22,2.31937178528506e+22,2.45649521641241e+22,2.41239652417568e+22,2.44664675641242e+22,1.90957759276602e+22
"CV","bap","gap","bap-gap","b-g","plc_plos",2.50692895148893e+22,2.18088874454834e+22,2.00523623695054e+22,1.87187885594786e+22,3.20133412102018e+22,2.34116184530745e+22,2.46914415343605e+22,2.06097584361414e+22
"CV","bap","hap","bap-hap","b-h","multi",5.14943502357804e+22,2.36005808067958e+22,2.43178008400464e+22,2.38127540976779e+22,2.28094100870919e+22,2.28954891621786e+22,2.82518668207855e+22,1.94146446916783e+22
"CV","bap","jap","bap-jap","b-j","manXplc_obs",4.97474884848714e+22,2.32314259046175e+22,1.87235878936546e+22,2.31349400903859e+22,2.2553136485798e+22,2.22018687889204e+22,NA,2.43746620072396e+22
"CV","bap","kap","bap-kap","b-k","voiXplc",3.1413061526357e+22,1.90540705907607e+22,2.49294018506913e+22,2.85027215003452e+22,2.41151726237559e+22,2.8346363554652e+22,1.99032008640923e+22,2.39657583636909e+22
"CV","bap","lap","bap-lap","b-l","multi",4.92797081606208e+22,1.92096623933466e+22,2.34200402827492e+22,2.30456533782163e+22,2.40050088836486e+22,2.26012047494855e+22,2.45181094431921e+22,2.19917005061573e+22
"CV","bap","map","bap-map","b-m","nasXson",8.3394567957108e+22,2.69654128149214e+22,2.14403140620838e+22,2.46311330267693e+22,2.40601119802005e+22,2.44732410876988e+22,2.33840398646221e+22,2.20849868771468e+22
"CV","bap","nap","bap-nap","b-n","multi",6.91696974081624e+22,2.79058944504746e+22,2.81365846659988e+22,1.92063701227121e+22,2.15452917867322e+22,1.79196303115453e+22,3.25121075256606e+22,3.58740010786615e+22
"CV","bap","pap","bap-pap","b-p","voi_plos",6.14837244913864e+22,2.47888795138085e+22,1.91901341108055e+22,2.66340342820752e+22,2.38260675305462e+22,2.18265855567165e+22,2.38816840250945e+22,2.08559307834739e+22
"CV","bap","rap","bap-rap","b-r","multi",4.98213095644854e+22,1.97073178934394e+22,2.27377374954126e+22,3.04437726575584e+22,2.37757739037859e+22,2.18896467759057e+22,2.57233057334051e+22,2.42447252610003e+22
"CV","bap","sap","bap-sap","b-s","multi",3.703368298733e+22,2.21599891070216e+22,1.74703301799032e+22,2.46145492725882e+22,2.71504491504546e+22,2.58015381570393e+22,2.92800489753513e+22,2.51473454739508e+22
"CV","bap","Sap","bap-Sap","b-S","multi",5.61243652736686e+22,2.04997733387891e+22,1.95588317249036e+22,2.29354803666001e+22,2.34124299799372e+22,2.13868814724039e+22,2.11857614052543e+22,2.17305077718244e+22
"CV","bap","tap","bap-tap","b-t","voiXplc",4.49828400071589e+22,2.17159223954584e+22,2.13390871556304e+22,2.32550846653422e+22,2.65442932579259e+22,2.25089557405177e+22,2.07684703379777e+22,2.165028711036e+22
"CV","bap","Tap","bap-Tap","b-T","multi",3.55945286229254e+22,2.00540937373027e+22,2.41063805212949e+22,2.21273815512109e+22,2.72787753678554e+22,2.00227137616928e+22,2.32166078533123e+22,2.25624547258001e+22
"CV","bap","vap","bap-vap","b-v","man_obs",3.07899672339549e+22,1.96948108364591e+22,1.51646549963548e+22,2.08782558462447e+22,2.68768543659369e+22,2.29293152900632e+22,2.2366355005989e+22,2.21965347091457e+22
"CV","bap","zap","bap-zap","b-z","manXplc_obs",4.05530797544142e+22,1.77316625320383e+22,1.98450343314969e+22,2.37587006835899e+22,2.03444774010348e+22,2.09848235471277e+22,2.46957499670878e+22,2.65988454112906e+22
"CV","bib","cib","bib-cib","b-c","multi",2.25287949537211e+22,1.68379137793074e+22,1.46306170164515e+22,1.53227703000229e+22,1.98752132384353e+22,2.61695347437912e+22,1.7009865029389e+22,1.8193141729236e+22
"CV","bib","dib","bib-dib","b-d","plc_plos",2.10232194422019e+22,1.6421663481231e+22,1.196095856724e+22,1.36489257053777e+22,2.57030834674504e+22,1.49966513607491e+22,1.65772535728829e+22,2.06281636286616e+22
"CV","bib","Dib","bib-Dib","b-D","manXplc_obs",2.21170515993131e+22,1.98889142118024e+22,1.30240510747725e+22,1.26499541756405e+22,2.43828194492597e+22,2.12308849618396e+22,2.08948700321767e+22,2.07199059005004e+22
"CV","bib","fib","bib-fib","b-f","voiXman",2.34369170725592e+22,1.56542910215532e+22,1.70658685609425e+22,1.57793474349073e+22,2.42123874246583e+22,2.31087267895096e+22,2.44479574387586e+22,2.59818249095265e+22
"CV","bib","gib","bib-gib","b-g","plc_plos",2.33386643032933e+22,1.74698754276778e+22,2.68729417941024e+22,1.25743274259387e+22,2.90891764344436e+22,2.58073614225215e+22,2.16314883843103e+22,NA
"CV","bib","hib","bib-hib","b-h","multi",3.37266177514256e+22,1.95613558688797e+22,1.44518636655754e+22,1.46576842660809e+22,2.60457923305713e+22,3.13245673162867e+22,2.17313568329956e+22,2.12257622352709e+22
"CV","bib","jib","bib-jib","b-j","manXplc_obs",2.61838800149553e+22,1.79093302787888e+22,1.70389520879401e+22,1.5342925028199e+22,1.51078412651849e+22,1.47218315299853e+22,2.07477221822562e+22,2.16613967557989e+22
"CV","bib","kib","bib-kib","b-k","voiXplc",2.79157318750255e+22,2.30639642509019e+22,1.87929935972713e+22,2.03537657741552e+22,2.44606465771447e+22,2.7393947625359e+22,2.09592293874199e+22,1.87946532935529e+22
"CV","bib","lib","bib-lib","b-l","multi",2.2997408617096e+22,1.98910501576921e+22,2.41984555048941e+22,1.59569188841128e+22,1.6337516854638e+22,2.51173256770349e+22,2.47648419471833e+22,1.83134857246717e+22
"CV","bib","mib","bib-mib","b-m","nasXson",2.32198939232168e+22,2.06378709175593e+22,1.6541716660057e+22,1.44622627441063e+22,2.63045692584394e+22,2.42759699234905e+22,2.08159256126895e+22,1.8930662471997e+22
"CV","bib","nib","bib-nib","b-n","multi",2.64920594196545e+22,2.54200262720172e+22,1.65137813849071e+22,1.39915290712796e+22,4.42784928430621e+22,2.1966621638795e+22,2.03737640099689e+22,2.60062469498405e+22
"CV","bib","pib","bib-pib","b-p","voi_plos",2.0541151628218e+22,2.09899406758567e+22,1.63099805291953e+22,1.85169049141737e+22,2.55121962749824e+22,3.34454505327224e+22,2.02858773314659e+22,2.012850509809e+22
"CV","bib","rib","bib-rib","b-r","multi",2.61712966270643e+22,1.86439113882788e+22,1.66025279989384e+22,2.04417798420216e+22,3.08956832288719e+22,2.50474482094781e+22,1.62203091442107e+22,1.93019872900226e+22
"CV","bib","sib","bib-sib","b-s","multi",3.34407241002162e+22,1.60657048810681e+22,2.29021110021901e+22,2.30581871717986e+22,3.48959001619697e+22,2.6665195005584e+22,2.24789342540272e+22,2.19487740595468e+22
"CV","bib","Sib","bib-Sib","b-S","multi",3.6318370270569e+22,1.96410707672561e+22,1.85584195334888e+22,1.6533779316522e+22,2.14559894740535e+22,2.21991043850144e+22,1.68969183003707e+22,2.28404921954764e+22
"CV","bib","tib","bib-tib","b-t","voiXplc",2.22808917980177e+22,2.28013558659634e+22,1.82220762570733e+22,1.47517995149613e+22,2.03808241300026e+22,2.44996766895842e+22,2.11134194427957e+22,2.48918821906537e+22
"CV","bib","Tib","bib-Tib","b-T","multi",2.83120123145496e+22,2.268103701241e+22,2.37908377048634e+22,2.07667928225555e+22,2.62713627772036e+22,2.12135761127937e+22,1.84117018738022e+22,2.05478352474129e+22
"CV","bib","vib","bib-vib","b-v","man_obs",2.4111716115365e+22,2.06508123671008e+22,1.49116868125009e+22,1.51291720247479e+22,2.14892447921976e+22,2.19375305129246e+22,2.16657502458516e+22,2.23274492941787e+22
"CV","bib","zib","bib-zib","b-z","manXplc_obs",2.72765477348292e+22,2.26997281103594e+22,2.14304740920289e+22,2.64022606222314e+22,2.81191521433161e+22,3.63967524439099e+22,2.08175626530628e+22,2.44106257705009e+22
"CV","bip","cip","bip-cip","b-c","multi",2.22256605358326e+22,3.29283014376347e+22,2.57866100044991e+22,2.33934577292568e+22,2.28013344848501e+22,1.97762916467719e+22,2.05295125955817e+22,2.02151159349802e+22
