"DiffPos","S1","S2","Contrast","PhonX","FeatX","F1_1","F1_2","M1_1","M1_2","F2_1","F2_2","M2_1","M2_2"
"CV","bab","cab","bab-cab","b-c","multi",10.9036338817928,10.6000682444108,10.9407968669637,11.5849518644326,9.41519666817036,11.003221492801,10.037229558984,10.3401596180566
"CV","bab","dab","bab-dab","b-d","plc_plos",8.46292659828397,8.33369291724004,8.17926602481919,9.26058495845465,9.87957387395423,9.52788378024209,9.44465484821257,10.5123929688264
"CV","bab","Dab","bab-Dab","b-D","manXplc_obs",9.69244194135702,8.68263010849828,8.18948796784857,9.09337157099537,9.94962433503429,10.0869759802329,10.1518734775588,11.2256459687346
"CV","bab","fab","bab-fab","b-f","voiXman",13.4595601022787,11.2335272895007,9.16556696447421,8.56370562640478,8.42442067535741,9.92274575331925,9.01552954825075,12.1048455246574
"CV","bab","gab","bab-gab","b-g","plc_plos",11.4132332260989,7.62725962575912,8.95460189257018,7.69757983431949,10.1105842596709,9.49112999531316,11.8859614454165,NA
"CV","bab","hab","bab-hab","b-h","multi",12.20321117073,9.2854582160155,8.38936399283516,8.82046243195915,8.04531895636159,9.86358450276898,9.81348825224117,12.8520650583454
"CV","bab","jab","bab-jab","b-j","manXplc_obs",11.1557123811837,9.3969194466269,9.76763970885947,9.2232486283938,11.2227389046798,9.65552793985851,NA,NA
"CV","bab","kab","bab-kab","b-k","voiXplc",10.8222684162231,8.9986204304208,9.82107217661936,9.34272976152203,8.48931680374751,10.4302108337479,11.2560547708775,12.1875708233699
"CV","bab","lab","bab-lab","b-l","multi",11.4766535561184,9.17774250901009,8.41360269497825,9.31930404552582,10.9048427381396,10.4907828227436,11.2841946570671,10.331036826919
"CV","bab","mab","bab-mab","b-m","nasXson",12.0291376124319,10.669280793358,9.91138596696638,10.137395489227,9.96773903931314,12.3417344843427,10.1211377234526,11.1587210322643
"CV","bab","nab","bab-nab","b-n","multi",11.6590415192672,9.87539708637872,9.47928268270252,11.707896294691,11.3571830192679,10.8165160254076,12.9420057937012,10.4407165299181
"CV","bab","pab","bab-pab","b-p","voi_plos",14.0248201417456,10.3019185167632,8.46143372051261,8.22044864949089,7.89725102650359,9.30279614075026,12.3035870343738,9.78621196212606
"CV","bab","rab","bab-rab","b-r","multi",10.2352730077781,8.93699097947894,9.09844104401493,10.2781004873489,10.4656093910008,10.5356545435371,10.3562743636893,10.7199876774747
"CV","bab","sab","bab-sab","b-s","multi",12.3153138679555,11.1765813319508,9.38041160972966,8.62292426211154,12.1868672599136,9.96126178223222,12.3296516477654,12.4888001751781
"CV","bab","Sab","bab-Sab","b-S","multi",14.8912379922483,11.3963103868143,11.0286276953842,10.8689566407365,10.0279757023129,12.3156561283638,11.1733640519801,11.795792765539
"CV","bab","tab","bab-tab","b-t","voiXplc",10.9413520882765,10.2590274986452,8.78562548226425,8.48204593546178,8.17375985175855,8.64753213869121,10.7433654470807,10.3427114985193
"CV","bab","Tab","bab-Tab","b-T","multi",13.7665985072831,13.4002599804177,9.82210713883132,9.83177041524971,10.1582111797291,10.8001199814887,10.525209971188,13.4093296655004
"CV","bab","vab","bab-vab","b-v","man_obs",11.2506900781479,9.62570793057809,7.72345175367427,9.32514852105311,8.48167040693949,11.0876628357223,8.93533070916149,10.326178007089
"CV","bab","zab","bab-zab","b-z","manXplc_obs",12.1410090986883,9.93739798600895,10.1697654078458,10.6374682417162,11.660158293259,10.2602385020706,10.5857131987277,11.6163140052678
"CV","bap","cap","bap-cap","b-c","multi",13.540790891439,10.7157494633313,10.6766637492377,10.6763321396264,12.2176254014599,11.9312255388588,10.9065386141891,9.75944697902304
"CV","bap","dap","bap-dap","b-d","plc_plos",9.73907277457103,8.81774725000675,9.03089239166843,8.02172550015805,9.74517145029295,8.22266764803892,10.7485766297196,11.2615598199056
"CV","bap","Dap","bap-Dap","b-D","manXplc_obs",11.953785953674,10.5295366507301,9.16537165880203,8.79314044273427,10.084676875085,10.2077544725581,8.29056117251758,9.08737485528409
"CV","bap","fap","bap-fap","b-f","voiXman",9.25095122766543,11.0142944443571,9.34516753931327,9.26030150161474,11.8677546314976,10.6061144523822,11.7641277249445,10.6709384856732
"CV","bap","gap","bap-gap","b-g","plc_plos",7.85806854113148,10.8470394607891,9.70601181372204,8.25399570976994,9.7887933982801,10.1552040169879,9.47581699203362,10.324395952674
"CV","bap","hap","bap-hap","b-h","multi",13.4789707816914,10.538237383552,9.92180546625035,9.85489570322796,9.81268048585851,9.85604639178949,10.9463695375627,10.2035876586636
"CV","bap","jap","bap-jap","b-j","manXplc_obs",14.5569800428109,10.9148666332662,9.90920124667065,10.5546039784844,10.5009641426183,10.6461907335446,NA,12.071952401033
"CV","bap","kap","bap-kap","b-k","voiXplc",10.6469629373981,10.0500022817478,9.70216694627289,9.92545060574804,9.67699885149758,9.82185421349477,10.8887095040348,9.82402935545852
"CV","bap","lap","bap-lap","b-l","multi",10.8447381262901,10.5780465911706,10.7598960890429,10.1343646512257,9.96161754478694,9.97891320398501,10.3619835361294,9.56420356923875
"CV","bap","map","bap-map","b-m","nasXson",16.414497489463,11.3824773070624,11.6300052444197,10.26783769855,10.7279064539798,11.61961558006,11.2491598534358,11.3759138600333
"CV","bap","nap","bap-nap","b-n","multi",13.9425402606941,11.4279035062785,13.4965990437914,10.7658955790763,11.1725766332435,11.7441399522639,11.4932497097055,12.2632125357737
